month,route,direction,year,quarter,month_num,time_trend,rev_index_route_month,freight_index,bunker,us_epu_index,capacity_index,congestion_dummy,eu_ip_index,uk_ip_index,trade_imbalance,gbp_eur_rate,uk_cpi,teu_volume,ln_rev_index_route_month,ln_freight_index,ln_bunker,ln_teu_volume,ln_us_epu_index,ln_gbp_eur_rate,ln_uk_cpi
2016-01-01,UK-DE,Exports,2016.0,1,1,1.0,859292.1190498633,222.87844,201.786,154.8573305883009,99.0,0,1.9,1.1,-1169.6858357029423,1.3149,117.16593810022655,3855.429529432561,13.663864211898689,5.406626510724876,5.307207729893483,8.257237701173812,5.042504245229619,0.27376061711073607,4.763591204357529
2016-02-01,UK-DE,Exports,2016.0,1,2,2.0,971500.9440290212,236.46949,218.86,148.32178884302218,99.0,0,-1.4,-0.3,-2649.353166369957,1.2799,117.35944717281484,4108.356405847626,13.78659751952229,5.465819193267459,5.388432255990297,8.320778326254832,4.999384162444803,0.24678194987960905,4.765241423298877
2016-03-01,UK-DE,Exports,2016.0,1,3,3.0,1185074.2196310477,298.04085,226.831,130.49015932384305,99.0,0,-0.5,-0.7,-2190.9609979271036,1.2619,117.55327584136916,3976.214064719811,13.98531596319007,5.6972305576476385,5.424205246816499,8.28808540554243,4.8712978164393315,0.2326185216767279,4.766891642240226
2016-04-01,UK-DE,Exports,2016.0,2,4,4.0,1881993.8015760696,480.6509,271.605,96.41341581246452,99.0,0,1.6,2.9,-3219.1118255757765,1.2761,117.74742463372824,3915.510824126346,14.447842305591788,6.175141226974443,5.604348804940716,8.272701078617345,4.568645360112599,0.24380855175779362,4.768541861181574
2016-05-01,UK-DE,Exports,2016.0,2,5,5.0,1914876.7005877064,421.63279,295.729,96.22233274231512,99.0,0,-1.5,-1.8,-503.897097829783,1.3011,117.94189407860254,4541.57443634236,14.465163792407928,6.044134769345138,5.6894434944202965,8.42102902306279,4.566661479817745,0.2632100605272931,4.770192080122922
2016-06-01,UK-DE,Exports,2016.0,2,6,6.0,1908127.6080907132,497.43744,316.363,233.9561029807024,99.0,0,0.8,-0.7,-2451.9910765944405,1.1984,118.13668470557582,3835.914739531293,14.461633009304652,6.209469799947892,5.7568902884738735,8.25216320935676,5.455133503660165,0.1809873337808179,4.771842299064271
2016-07-01,UK-DE,Exports,2016.0,3,7,7.0,1847285.5863431848,495.91775,266.669,164.45840052945698,99.0,0,-0.2,-0.2,-4474.158714798509,1.1841,118.33179704510638,3724.9838029455177,14.429227868962933,6.206410086361271,5.586008188961537,8.22281778260166,5.102657653905385,0.16898299235477401,4.773492518005619
2016-08-01,UK-DE,Exports,2016.0,3,8,8.0,2616434.837096767,541.05471,303.44,106.88562278807385,99.0,0,0.1,-0.3,-1354.8457998130907,1.1775,118.5272316285287,4835.804566042438,14.77732319987765,6.293520401275026,5.715183897380643,8.483802798602625,4.671759316825911,0.16339354690843574,4.775142736946967
2016-09-01,UK-DE,Exports,2016.0,3,9,9.0,2646731.0531375054,674.63377,334.04,86.34353837572384,99.0,0,0.3,0.4,-975.9954853883992,1.1543,118.72298898805474,3923.2116310120455,14.788835871641233,6.514169980669022,5.811260746285028,8.27466589097221,4.458333971169967,0.14349409963872956,4.7767929558883155
2016-10-01,UK-DE,Exports,2016.0,4,10,10.0,2937739.4845843823,700.85051,350.425,108.06412479274996,99.0,0,0.7,-2.1,-2724.395926538872,1.115,118.91906965677548,4191.677743923426,14.893150960778456,6.55229461179661,5.859146703549121,8.340856348981848,4.6827247990065874,0.10885440491208208,4.778443174829664
